course_name,course_code,level,faculty,url,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16,sdg_17
Thesis Research Project,4413TRP30Y,Master,"Technology, Policy and Management",https://studiegids.tudelft.nl/courses/study-guide/educations/20245,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Entrepreneurship and Innovation,4603BSENI,Master,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Financing Technology Ventures,4603BSFT3,Master,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/3785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leading and Managing People,4603BSLMP,Master,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marketing Analytics,4603BSMA4,Master,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Management Science,4603BSMSX,Master,Applied Sciences,https://studiegids.tudelft.nl/courses/study-guide/educations/17537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Complex Networks,4609COMNW,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/17365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geological & Engineering Basics of Final Disposal,5.100.017,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geophysical Logging and Log Interpretation,5.314.570,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydrogeophysics,5.318.482,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockphysics Laboratory,5.326.003,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scientific Machine Learning,5.326.004,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engineering geophysics,5.329.469,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seismic Interpretation and Well Integration,5.330.255,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data analysis in Geoscience,5.331.439,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remote Sensing of Geohazards,5.331.582.01,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remote Sensing - Advanced Methods,5.331.582.02,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockphysics,5.331.637.01,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Underground Excavation,5.332.383,Master,External institution,https://studiegids.tudelft.nl/courses/study-guide/educations/22198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
