Field name,Course code///Vakcode,Course name///Vaknaam,Link,Sustainable course?///Duurzaam vak?,Level///Niveau,Faculty///Faculteit,SDGs///SDG's
TRUE,AE1108-I,Aerospace Materials,https://studiegids.tudelft.nl/courses/study-guide/educations/20590,Yes,BSc,Aerospace Engineering,[12]
FALSE,AE1108-II,Aerospace Mechanics of Materials,https://studiegids.tudelft.nl/courses/study-guide/educations/20591,No,BSc,Aerospace Engineering,[]
FALSE,AE1110-I,Introduction to Aerospace Engineering I,https://studiegids.tudelft.nl/courses/study-guide/educations/20592,No,BSc,Aerospace Engineering,[]
FALSE,AE1110-II,Introduction to Aerospace Engineering II,https://studiegids.tudelft.nl/courses/study-guide/educations/20593,No,BSc,Aerospace Engineering,[]
FALSE,AE1110-M,Introduction to Aerospace Engineering I,https://studiegids.tudelft.nl/courses/study-guide/educations/3657,No,BSc,Aerospace Engineering,[]
FALSE,AE1111-I,Exploring Aerospace Engineering,https://studiegids.tudelft.nl/courses/study-guide/educations/20594,No,BSc,Aerospace Engineering,[]
FALSE,AE1111-II,Engineering Drawing,https://studiegids.tudelft.nl/courses/study-guide/educations/20595,No,BSc,Aerospace Engineering,[]
FALSE,AE1111-III,Mentor Programme,https://studiegids.tudelft.nl/courses/study-guide/educations/20596,No,BSc,Aerospace Engineering,[]
FALSE,AE1130-I,Statics,https://studiegids.tudelft.nl/courses/study-guide/educations/20597,No,BSc,Aerospace Engineering,[]
FALSE,AE1130-II,Dynamics,https://studiegids.tudelft.nl/courses/study-guide/educations/20598,No,BSc,Aerospace Engineering,[]
FALSE,AE1205,Programming and Scientific Computing in Python for AE1,https://studiegids.tudelft.nl/courses/study-guide/educations/20470,No,BSc,Aerospace Engineering,[]
FALSE,AE1222-I,Design en Construction,https://studiegids.tudelft.nl/courses/study-guide/educations/20599,No,BSc,Aerospace Engineering,[]
TRUE,AE1222-II,Aerospace Design en Systems Engineering Elements,https://studiegids.tudelft.nl/courses/study-guide/educations/20600,Yes,BSc,Aerospace Engineering,[9]
TRUE,AE1241,Physics,https://studiegids.tudelft.nl/courses/study-guide/educations/20601,Yes,BSc,Aerospace Engineering,[13]
